cosmo_name,smiles,inchi,cosmo_conf,source
ethylbutyrate,CCOC(CCC)=O,"InChI=1/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3",5,COSMObase
"1,4-dimethylbenzene",Cc1ccc(C)cc1,"InChI=1/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",1,COSMOtherm
"1,2-dibromoethane",BrCCBr,InChI=1/C2H4Br2/c3-1-2-4/h1-2H2,2,COSMOtherm
1-bromopropane,CCCBr,"InChI=1/C3H7Br/c1-2-3-4/h2-3H2,1H3",2,COSMObase
butane,CCCC,"InChI=1/C4H10/c1-3-4-2/h3-4H2,1-2H3",1,COSMOtherm
"1,2-dichloroethane",ClCCCl,InChI=1/C2H4Cl2/c3-1-2-4/h1-2H2,2,COSMOtherm
n-propylamine,CCCN,"InChI=1/C3H9N/c1-2-3-4/h2-4H2,1H3",3,COSMOtherm
propionitrile,CCC#N,"InChI=1/C3H5N/c1-2-3-4/h2H2,1H3",1,COSMOtherm
glycol,OCCO,"InChI=1/C2H6O2/c3-1-2-4/h3-4H,1-2H2",8,COSMObase
2-methylpentane,CCCC(C)C,"InChI=1/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",1,COSMOtherm
2-pentanone,CCCC(C)=O,"InChI=1/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",2,COSMOtherm
1-nitropropane,CCCN(=O)=O,"InChI=1/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",3,COSMObase
4-methyl-2-pentanone,CC(=O)CC(C)C,"InChI=1/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",3,COSMOtherm
diisopropylether,CC(C)OC(C)C,"InChI=1/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",3,COSMOtherm
isopropylacetate,CC(C)OC(C)=O,"InChI=1/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",4,COSMObase
"1,3-dimethylbenzene",Cc1cccc(C)c1,"InChI=1/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",1,COSMOtherm
3-hydroxytoluene,Cc1cccc(O)c1,"InChI=1/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",1,COSMOtherm
bromobenzene,Brc1ccccc1,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,1,COSMOtherm
methylcyclohexane,CC1CCCCC1,"InChI=1/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",1,COSMOtherm
toluene,Cc1ccccc1,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",1,COSMOtherm
chlorobenzene,Clc1ccccc1,InChI=1/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,1,COSMOtherm
cyclohexanol,OC1CCCCC1,"InChI=1/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",3,COSMOtherm
cyclohexanone,O=C1CCCCC1,InChI=1/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,1,COSMOtherm
2-methylpyridine,Cc1ccccn1,"InChI=1/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",1,COSMOtherm
n-propylacetate,CCCOC(C)=O,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",4,COSMObase
pentane,CCCCC,"InChI=1/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",1,COSMOtherm
1-chlorobutane,CCCCCl,"InChI=1/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",1,COSMOtherm
1-butylamine,CCCCN,"InChI=1/C4H11N/c1-2-3-4-5/h2-5H2,1H3",3,COSMOtherm
butyronitrile,CCCC#N,"InChI=1/C4H7N/c1-2-3-4-5/h2-3H2,1H3",1,COSMOtherm
2-methoxyethanol,COCCO,"InChI=1/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",8,COSMOtherm
thf,C1CCOC1,InChI=1/C4H8O/c1-2-4-5-3-1/h1-4H2,1,COSMOtherm
thiophene,c1ccsc1,InChI=1/C4H4S/c1-2-4-5-3-1/h1-4H,1,COSMOtherm
hexane,CCCCCC,"InChI=1/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",1,COSMOtherm
ethoxyethanol,CCOCCO,"InChI=1/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",10,COSMOtherm
cyclohexane,C1CCCCC1,InChI=1/C6H12/c1-2-4-6-5-3-1/h1-6H2,1,COSMOtherm
cyclohexene,C1=CCCCC1,"InChI=1/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2",1,COSMOtherm
pyridine,c1ccncc1,InChI=1/C5H5N/c1-2-4-6-5-3-1/h1-5H,1,COSMOtherm
piperidine,C1CCNCC1,"InChI=1/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",2,COSMOtherm
1-hexanol,CCCCCCO,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",10,COSMOtherm
di-n-propylether,CCCOCCC,"InChI=1/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3",4,COSMOtherm
diethyleneglycol,OCCOCCO,"InChI=1/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",26,COSMObase
octane,CCCCCCCC,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",2,COSMOtherm
hexanedinitrile,N#CCCCCC#N,InChI=1/C6H8N2/c7-5-3-1-2-4-6-8/h1-4H2,6,COSMOtherm
1-heptanol,CCCCCCCO,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",8,COSMOtherm
2-butoxyethanol,OCCOCCCC,"InChI=1/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3",13,COSMObase
n-nonane,CCCCCCCCC,"InChI=1/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",6,COSMObase
dibutylamine,CCCCNCCCC,"InChI=1/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3",6,COSMOtherm
dodecane,CCCCCCCCCCCC,"InChI=1/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",4,COSMObase
cyclopentanone,O=C1CCCC1,InChI=1/C5H8O/c6-5-3-1-2-4-5/h1-4H2,1,COSMOtherm
triethylamine,CCN(CC)CC,"InChI=1/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",4,COSMOtherm
isopentanol,CC(C)CCO,"InChI=1/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",6,COSMOtherm
acetylacetone,CC(CC(C)=O)=O,"InChI=1/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3",4,COSMObase
pyrrolidine,C1CCNC1,"InChI=1/C4H9N/c1-2-4-5-3-1/h5H,1-4H2",2,COSMOtherm
n-butylacetate,CCCCOC(C)=O,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",5,COSMObase
dioxane,C1COCCO1,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,1,COSMOtherm
n-decane,CCCCCCCCCC,"InChI=1/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",5,COSMObase
tetrachloroethene,ClC(Cl)=C(Cl)Cl,InChI=1/C2Cl4/c3-1(4)2(5)6,1,COSMOtherm
"n,n-dimethylacetamide",CC(=O)N(C)C,InChI=1/C4H9NO/c1-4(6)5(2)3/h1-3H3,1,COSMOtherm
2-methyl-1-butanol,CCC(C)CO,"InChI=1/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",7,COSMOtherm
ethanolamine,NCCO,"InChI=1/C2H7NO/c3-1-2-4/h4H,1-3H2",10,COSMOtherm
ethylacetate,CCOC(C)=O,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",3,COSMOtherm
n-heptane,CCCCCCC,"InChI=1/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",1,COSMOtherm
di-n-butylether,CCCCOCCCC,"InChI=1/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",6,COSMOtherm
1-nonanol,OCCCCCCCCC,"InChI=1/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",7,COSMObase
"cis-1,2-dichloroethene",C(=C\Cl)\Cl,InChI=1/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-,1,COSMOtherm
cyclopentane,C1CCCC1,InChI=1/C5H10/c1-2-4-5-3-1/h1-5H2,1,COSMOtherm
hexafluorobenzene,Fc1c(F)c(F)c(F)c(F)c1F,InChI=1/C6F6/c7-1-2(8)4(10)6(12)5(11)3(1)9,1,COSMOtherm
fluorobenzene,Fc1ccccc1,InChI=1/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,1,COSMOtherm
1-chloropropane,CCCCl,"InChI=1/C3H7Cl/c1-2-3-4/h2-3H2,1H3",1,COSMOtherm
1-chlorohexane,CCCCCCCl,"InChI=1/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",2,COSMOtherm
n-hexadecane,CCCCCCCCCCCCCCCC,"InChI=1/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",3,COSMObase
ccl4,ClC(Cl)(Cl)Cl,"InChI=1/CCl4/c2-1(3,4)5",1,COSMOtherm
glycerol,OCC(O)CO,"InChI=1/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",29,COSMObase
"2,3-dimethylpyridine",Cc1cccnc1C,"InChI=1/C7H9N/c1-6-4-3-5-8-7(6)2/h3-5H,1-2H3",1,COSMOtherm
3-pentanol,CCC(O)CC,"InChI=1/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3",5,COSMOtherm
iodobenzene,Ic1ccccc1,InChI=1/C6H5I/c7-6-4-2-1-3-5-6/h1-5H,1,COSMOtherm
2-hexanone,CCCCC(C)=O,"InChI=1/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3",1,COSMOtherm
1-hexene,C=CCCCC,"InChI=1/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",1,COSMOtherm
diethylether,CCOCC,"InChI=1/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",3,COSMOtherm
aniline,Nc1ccccc1,"InChI=1/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",1,COSMOtherm
methylbutyrate,CCCC(=O)OC,"InChI=1/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",3,COSMOtherm
n-pentylacetate,CCCCCOC(C)=O,"InChI=1/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",4,COSMObase
hexanenitrile,CCCCCC#N,"InChI=1/C6H11N/c1-2-3-4-5-6-7/h2-5H2,1H3",2,COSMOtherm
ethanol,CCO,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",2,COSMOtherm
aceticacid,CC(=O)O,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H",2,COSMOtherm
methanol,CO,"InChI=1/CH4O/c1-2/h2H,1H3",1,COSMOtherm
2-propanol,CC(C)O,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3",2,COSMOtherm
propanone,CC(C)=O,InChI=1/C3H6O/c1-3(2)4/h1-2H3,1,COSMOtherm
chcl3,ClC(Cl)Cl,InChI=1/CHCl3/c2-1(3)4/h1H,1,COSMOtherm
dimethylsulfoxide,CS(C)=O,InChI=1/C2H6OS/c1-4(2)3/h1-2H3,1,COSMOtherm
dimethylformamide,CN(C)C=O,"InChI=1/C3H7NO/c1-4(2)3-5/h3H,1-2H3",1,COSMOtherm
propanol,CCCO,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",4,COSMOtherm
1-butanol,CCCCO,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",7,COSMOtherm
1-pentanol,CCCCCO,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",8,COSMOtherm
benzene,c1ccccc1,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,1,COSMOtherm
"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,"InChI=1/C2H3Cl3/c1-2(3,4)5/h1H3",1,COSMOtherm
ch3i,CI,InChI=1/CH3I/c1-2/h1H3,1,COSMOtherm
bromoethane,CCBr,"InChI=1/C2H5Br/c1-2-3/h2H2,1H3",1,COSMOtherm
propane,CCC,"InChI=1/C3H8/c1-3-2/h3H2,1-2H3",1,COSMOtherm
iodoethane,CCI,"InChI=1/C2H5I/c1-2-3/h2H2,1H3",1,COSMOtherm
ethylamine,CCN,"InChI=1/C2H7N/c1-2-3/h2-3H2,1H3",2,COSMOtherm
acetonitrile,CC#N,InChI=1/C2H3N/c1-2-3/h1H3,1,COSMOtherm
acetaldehyde,CC=O,"InChI=1/C2H4O/c1-2-3/h2H,1H3",1,COSMOtherm
ch2cl2,ClCCl,InChI=1/CH2Cl2/c2-1-3/h1H2,1,COSMOtherm
cs2,S=C=S,InChI=1/CS2/c2-1-3,1,COSMOtherm
dimethylsulfide,CSC,InChI=1/C2H6S/c1-3-2/h1-2H3,1,COSMOtherm
chbr3,BrC(Br)Br,InChI=1/CHBr3/c2-1(3)4/h1H,1,COSMOtherm
isopropylamine,NC(C)C,"InChI=1/C3H9N/c1-3(2)4/h3H,4H2,1-2H3",3,COSMObase
"1,1-dichloroethane",CC(Cl)Cl,"InChI=1/C2H4Cl2/c1-2(3)4/h2H,1H3",1,COSMOtherm
nitromethane,C[N+](=O)[O-],InChI=1/CH3NO2/c1-2(3)4/h1H3,1,COSMOtherm
tert-butanol,CC(C)(C)O,"InChI=1/C4H10O/c1-4(2,3)5/h5H,1-3H3",1,COSMOtherm
methylbutane,CCC(C)C,"InChI=1/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",1,COSMOtherm
2-butanol,CCC(O)C,"InChI=1/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",4,COSMOtherm
butanone,CCC(C)=O,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",1,COSMOtherm
methylacetate,COC(C)=O,InChI=1/C3H6O2/c1-3(4)5-2/h1-2H3,2,COSMOtherm
nitroethane,CC[N+](=O)[O-],"InChI=1/C2H5NO2/c1-2-3(4)5/h2H2,1H3",2,COSMOtherm
"1,1,2,2-tetrachloroethane",ClC(Cl)C(Cl)Cl,InChI=1/C2H2Cl4/c3-1(4)2(5)6/h1-2H,3,COSMObase
2-nitropropane,CC(C)[N+](=O)[O-],"InChI=1/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3",1,COSMOtherm
chinoline,c1ccc2ncccc2c1,InChI=1/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,1,COSMOtherm
"1,2-dimethylbenzene",Cc1ccccc1C,"InChI=1/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",1,COSMOtherm
"1,2-dichlorobenzene",Clc1ccccc1Cl,InChI=1/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,1,COSMOtherm
"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1,"InChI=1/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",1,COSMOtherm
3-methylpentane,CCC(C)CC,"InChI=1/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3",1,COSMOtherm
methylcyclopentane,CC1CCCC1,"InChI=1/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3",1,COSMOtherm
furfural,O=Cc1ccco1,InChI=1/C5H4O2/c6-4-5-2-1-3-7-5/h1-4H,2,COSMOtherm
isopropylbenzene,CC(C)c1ccccc1,"InChI=1/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",1,COSMOtherm
acetophenone,CC(=O)c1ccccc1,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",1,COSMOtherm
