cosmo_name,smiles,inchi,cosmo_conf,source
di-2-ethylhexylphthalate,CCCCC(CC)COC(=O)c1ccccc1C(OCC(CC)CCCC)=O,"InChI=1/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3",20,COSMObase
"n,n-dioctyl-1-octanamine",CCCCCCCCN(CCCCCCCC)CCCCCCCC,"InChI=1/C24H51N/c1-4-7-10-13-16-19-22-25(23-20-17-14-11-8-5-2)24-21-18-15-12-9-6-3/h4-24H2,1-3H3",17,COSMObase
"1,2-benzenedicarboxylicaciddinonylester",CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,"InChI=1/C26H42O4/c1-3-5-7-9-11-13-17-21-29-25(27)23-19-15-16-20-24(23)26(28)30-22-18-14-12-10-8-6-4-2/h15-16,19-20H,3-14,17-18,21-22H2,1-2H3",10,COSMObase
tricaprylin,CCCCCCCC(OC(COC(CCCCCCC)=O)COC(CCCCCCC)=O)=O,"InChI=1/C27H50O6/c1-4-7-10-13-16-19-25(28)31-22-24(33-27(30)21-18-15-12-9-6-3)23-32-26(29)20-17-14-11-8-5-2/h24H,4-23H2,1-3H3",20,COSMObase
"1,1,2,2-tetrabromoethane",BrC(Br)C(Br)Br,InChI=1/C2H2Br4/c3-1(4)2(5)6/h1-2H,2,COSMObase
dichloroaceticacid,ClC(Cl)C(O)=O,"InChI=1/C2H2Cl2O2/c3-1(4)2(5)6/h1H,(H,5,6)/f/h5H",4,COSMObase
"1,1-dibromoethane",CC(Br)Br,"InChI=1/C2H4Br2/c1-2(3)4/h2H,1H3",1,COSMObase
ethyleneoxide,C1OC1,InChI=1/C2H4O/c1-2-3-1/h1-2H2,1,COSMObase
2-chloroethanol,OCCCl,"InChI=1/C2H5ClO/c3-1-2-4/h4H,1-2H2",4,COSMObase
methylformamide,CNC=O,"InChI=1/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)/f/h3H",2,COSMObase
2-mercaptoethanol,OCCS,"InChI=1/C2H6OS/c3-1-2-4/h3-4H,1-2H2",7,COSMObase
"1,2-diaminoethane",NCCN,InChI=1/C2H8N2/c3-1-2-4/h1-4H2,8,COSMObase
"2,6,10,15,19,23-hexamethyltetracosane",CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,"InChI=1/C30H62/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h25-30H,9-24H2,1-8H3",3,COSMObase
"1,3-propanediamine",NCCCN,InChI=1/C3H10N2/c4-2-1-3-5/h1-5H2,8,COSMObase
ethylenecyanohydrin,OCCC#N,"InChI=1/C3H5NO/c4-2-1-3-5/h5H,1,3H2",5,COSMObase
"1,2-epoxypropane",CC1OC1,"InChI=1/C3H6O/c1-3-2-4-3/h3H,2H2,1H3",1,COSMObase
dimethylcarbonate,COC(OC)=O,InChI=1/C3H6O3/c1-5-3(4)6-2/h1-2H3,2,COSMObase
n-formylethylamine,CCNC=O,"InChI=1/C3H7NO/c1-2-4-3-5/h3H,2H2,1H3,(H,4,5)/f/h4H",3,COSMObase
n-methylacetamide,CNC(C)=O,"InChI=1/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)/f/h4H",1,COSMObase
propyleneglycol,OCC(O)C,"InChI=1/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3",10,COSMObase
dimethoxymethane,COCOC,"InChI=1/C3H8O2/c1-4-3-5-2/h3H2,1-2H3",1,COSMObase
"1,3-propanediol",OCCCO,"InChI=1/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2",18,COSMObase
trimethylphosphate,COP(OC)(OC)=O,"InChI=1/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3",6,COSMObase
isobutane,CC(C)C,"InChI=1/C4H10/c1-4(2)3/h4H,1-3H3",1,COSMObase
isobutanol,OCC(C)C,"InChI=1/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",3,COSMObase
"1,2-butanediol",OCC(O)CC,"InChI=1/C4H10O2/c1-2-4(6)3-5/h4-6H,2-3H2,1H3",13,COSMObase
"2,3-butanediol",OC(C)C(O)C,"InChI=1/C4H10O2/c1-3(5)4(2)6/h3-6H,1-2H3",12,COSMObase
"1,3-butanediol",OCCC(O)C,"InChI=1/C4H10O2/c1-4(6)2-3-5/h4-6H,2-3H2,1H3",19,COSMObase
"1,2-dimethoxyethane",COCCOC,"InChI=1/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3",4,COSMObase
"1,4-butadiol",OCCCCO,"InChI=1/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",22,COSMObase
